"zone","state","lga","sector","ea","hhid","s15bq1","tracked_obs"
2,2,214,1,898,20080,2,0
2,2,215,1,8,20081,2,0
2,2,215,1,8,20082,2,0
2,2,215,1,8,20083,2,0
2,2,215,1,8,20084,2,0
2,2,215,1,8,20085,2,0
2,2,215,1,8,20086,2,0
2,2,215,1,8,20087,2,0
2,2,215,1,8,20088,2,0
2,2,215,1,8,20089,2,0
2,2,215,1,8,20090,2,0
2,2,207,2,1302,20091,1,0
2,2,207,2,1302,20092,2,0
2,2,207,2,1302,20093,1,0
2,2,207,2,1302,20094,2,0
2,2,207,2,1302,20095,2,0
2,2,207,2,1302,20096,2,0
2,2,207,2,1302,20097,2,0
2,2,207,2,1302,20098,2,0
2,2,207,2,1302,20099,2,0
2,2,207,2,1302,20100,2,0
2,2,205,2,712,20101,2,0
2,2,205,2,712,20102,2,0
2,2,205,2,712,20103,2,0
2,2,205,2,712,20104,2,0
2,2,205,2,712,20105,2,0
2,2,205,2,712,20106,2,0
2,2,205,2,712,20107,1,0
2,2,205,2,712,20108,2,0
2,2,205,2,712,20109,2,0
2,2,205,2,712,20110,2,0
2,2,218,2,1592,20111,2,0
2,2,218,2,1592,20112,2,0
2,2,218,2,1592,20113,2,0
2,2,218,2,1592,20114,2,0
2,2,218,2,1592,20115,2,0
2,2,218,2,1592,20116,2,0
2,2,218,2,1592,20117,2,0
2,2,218,2,1592,20118,2,0
2,2,218,2,1592,20119,2,0
2,2,218,2,1592,20120,2,0
5,3,331,1,2322,30001,2,0
5,3,331,1,2322,30002,2,0
5,3,331,1,2322,30003,2,0
5,3,331,1,2322,30004,2,0
5,3,331,1,2322,30005,2,0
5,3,331,1,2322,30006,2,0
5,3,331,1,2322,30007,2,0
5,3,331,1,2322,30008,2,0
5,3,331,1,2322,30009,2,0
5,3,331,1,2322,30010,2,0
5,3,331,1,516,30011,2,0
5,3,331,1,516,30012,2,0
5,3,331,1,516,30013,2,0
5,3,331,1,516,30015,2,0
5,3,331,1,516,30016,2,0
5,3,331,1,516,30017,2,0
5,3,331,1,516,30018,2,0
5,3,331,1,516,30019,2,0
5,3,331,1,516,30020,2,0
5,3,316,2,874,30021,2,0
5,3,316,2,874,30022,2,0
5,3,316,2,874,30023,2,0
5,3,316,2,874,30024,2,0
5,3,316,2,874,30025,2,0
5,3,316,2,874,30026,2,0
5,3,316,2,874,30027,2,0
5,3,316,2,874,30028,2,0
5,3,316,2,0,30029,2,1
5,3,316,2,874,30030,2,0
5,3,309,2,478,30031,2,0
5,3,309,2,478,30032,2,0
5,3,309,2,478,30033,2,0
5,3,309,2,478,30034,2,0
5,3,309,2,478,30035,2,0
5,3,309,2,478,30036,2,0
5,3,309,2,478,30037,2,0
5,3,309,2,478,30038,2,0
5,3,309,2,478,30039,2,0
5,3,309,2,478,30040,2,0
5,3,307,1,634,30041,2,0
5,3,307,1,634,30042,2,0
5,3,307,1,634,30043,2,0
5,3,307,1,634,30044,2,0
5,3,307,1,634,30045,2,0
5,3,307,1,634,30046,1,0
5,3,307,1,634,30047,1,0
5,3,307,1,634,30048,2,0
5,3,307,1,634,30049,2,0
5,3,307,1,634,30050,2,0
5,3,321,2,364,30051,2,0
5,3,321,2,364,30052,1,0
5,3,321,2,364,30053,2,0
5,3,321,2,364,30054,2,0
5,3,321,2,364,30055,2,0
5,3,321,2,364,30056,2,0
5,3,321,2,364,30057,1,0
5,3,321,2,364,30058,2,0
5,3,321,2,364,30059,2,0
5,3,321,2,364,30060,2,0
5,3,329,2,696,30061,2,0
5,3,329,2,696,30062,1,0
5,3,329,2,696,30063,2,0
5,3,308,1,0,30064,2,1
5,3,329,2,696,30065,2,0
5,3,329,2,696,30066,2,0
5,3,329,2,696,30067,1,0
5,3,329,2,696,30068,2,0
5,3,329,2,696,30069,2,0
5,3,329,2,696,30070,2,0
5,3,323,2,580,30071,2,0
5,3,323,2,580,30072,2,0
5,3,323,2,580,30073,2,0
5,3,323,2,580,30074,2,0
5,3,323,2,580,30075,2,0
5,3,323,2,580,30076,2,0
5,3,323,2,580,30077,2,0
5,3,323,2,580,30078,2,0
5,3,323,2,580,30079,2,0
5,3,323,2,580,30080,2,0
5,3,318,2,1136,30081,2,0
5,3,318,2,1136,30082,2,0
5,3,318,2,1136,30084,2,0
5,3,318,2,1136,30085,2,0
5,3,318,2,1136,30086,2,0
5,3,318,2,1136,30087,2,0
5,3,318,2,1136,30088,2,0
5,3,318,2,1136,30089,2,0
5,3,318,2,1136,30090,2,0
5,3,313,2,70,30091,2,0
5,3,313,2,70,30092,2,0
5,3,313,2,70,30093,2,0
5,3,313,2,70,30094,2,0
5,3,313,2,0,30095,2,1
5,3,313,2,70,30096,2,0
5,3,313,2,70,30097,1,0
5,3,313,2,70,30098,2,0
5,3,313,2,70,30099,2,0
5,3,313,2,70,30100,2,0
5,3,301,1,1198,30101,2,0
5,3,301,1,1198,30102,1,0
5,3,301,1,1198,30103,2,0
5,3,301,1,1198,30104,2,0
5,3,301,1,1198,30105,2,0
5,3,301,1,1198,30106,2,0
5,3,301,1,1198,30107,2,0
5,3,301,1,1198,30108,2,0
5,3,301,1,1198,30109,2,0
5,3,301,1,1198,30110,2,0
5,3,326,2,74,30111,2,0
5,3,326,2,74,30112,2,0
5,3,326,2,74,30113,2,0
5,3,326,2,74,30114,2,0
5,3,326,2,74,30115,2,0
5,3,326,2,74,30116,2,0
5,3,326,2,74,30117,1,0
5,3,326,2,74,30118,2,0
5,3,326,2,74,30119,2,0
5,3,326,2,74,30120,2,0
5,3,305,2,1542,30121,2,0
5,3,305,2,1542,30122,2,0
5,3,305,2,1542,30123,2,0
5,3,305,2,1542,30124,2,0
5,3,305,2,1542,30125,2,0
5,3,305,2,1542,30126,2,0
5,3,305,2,1542,30127,2,0
5,3,305,2,1542,30128,2,0
5,3,305,2,1542,30129,2,0
5,3,305,2,1542,30130,1,0
5,3,312,2,20,30131,2,0
5,3,312,2,20,30132,2,0
5,3,312,2,20,30133,2,0
5,3,312,2,20,30134,2,0
5,3,312,2,20,30135,2,0
5,3,312,2,20,30137,2,0
5,3,312,2,20,30138,2,0
5,3,312,2,20,30139,2,0
5,3,312,2,20,30140,2,0
5,3,305,2,4,30141,1,0
5,3,305,2,4,30142,1,0
5,3,305,2,4,30143,2,0
5,3,305,2,4,30144,,0
5,3,305,2,4,30145,1,0
5,3,305,2,4,30146,2,0
5,3,305,2,4,30147,2,0
5,3,305,2,4,30148,2,0
5,3,305,2,4,30149,2,0
5,32,3222,2,0,30150,2,1
4,4,418,1,44,40001,2,0
4,4,418,1,44,40002,2,0
4,4,418,1,44,40003,2,0
4,4,418,1,44,40005,2,0
4,4,418,1,44,40006,2,0
4,4,418,1,44,40007,2,0
4,4,418,1,44,40008,2,0
4,4,418,1,44,40009,2,0
4,4,418,1,44,40010,2,0
4,4,417,1,678,40011,2,0
4,4,417,1,678,40012,2,0
4,4,417,1,678,40013,2,0
4,4,417,1,678,40015,2,0
4,4,417,1,678,40016,2,0
4,4,417,1,678,40017,1,0
4,4,417,1,678,40018,1,0
4,4,417,1,678,40019,2,0
4,4,417,1,678,40020,2,0
4,4,416,1,616,40021,2,0
4,4,416,1,616,40022,2,0
4,4,416,1,616,40023,2,0
4,4,416,1,616,40025,2,0
4,4,416,1,616,40026,2,0
4,4,416,1,616,40027,2,0
4,4,416,1,616,40028,2,0
4,4,416,1,616,40030,2,0
4,4,414,1,2176,40031,2,0
4,4,414,1,2176,40032,2,0
4,4,414,1,2176,40033,2,0
4,4,414,1,2176,40034,2,0
6,24,2417,1,0,40035,2,1
4,4,414,1,2176,40036,2,0
4,4,414,1,2176,40037,2,0
4,4,414,1,2176,40038,2,0
4,4,414,1,2176,40039,2,0
4,4,414,1,2176,40040,2,0
4,4,415,1,2108,40041,2,0
4,4,415,1,2108,40042,2,0
4,4,415,1,2108,40043,2,0
4,4,415,2,0,40044,1,1
4,4,415,1,2108,40045,2,0
4,4,415,1,2108,40046,2,0
4,4,415,1,2108,40047,2,0
4,4,415,1,2108,40048,2,0
4,4,415,1,2108,40049,2,0
4,4,415,1,2108,40050,2,0
4,4,413,2,1540,40051,2,0
4,4,413,2,1540,40052,2,0
4,4,413,2,1540,40053,2,0
4,4,413,2,1540,40054,2,0
4,4,413,2,1540,40055,2,0
4,4,413,2,1540,40056,2,0
4,4,413,2,1540,40057,2,0
4,4,413,2,1540,40058,2,0
4,4,413,2,1540,40059,2,0
4,4,413,2,1540,40060,2,0
4,4,405,2,722,40062,2,0
4,4,405,2,722,40063,2,0
4,4,405,2,722,40064,1,0
4,4,405,2,722,40065,2,0
4,4,405,2,722,40066,2,0
4,4,405,2,722,40067,2,0
4,4,405,2,722,40068,2,0
4,4,405,2,722,40069,2,0
4,4,405,2,722,40070,2,0
4,4,405,2,484,40071,2,0
4,4,405,2,484,40072,2,0
4,4,405,2,484,40073,2,0
4,4,405,2,484,40074,2,0
4,4,405,2,484,40075,2,0
4,4,405,2,484,40076,2,0
4,4,405,2,484,40077,2,0
4,4,405,2,484,40078,2,0
4,4,405,2,484,40079,1,0
4,4,405,2,484,40080,2,0
4,4,419,2,296,40081,2,0
4,4,419,2,296,40082,1,0
4,4,419,2,296,40083,1,0
4,4,419,2,296,40084,2,0
4,4,419,2,296,40085,2,0
4,4,419,2,296,40086,2,0
4,4,419,2,296,40087,2,0
4,4,419,2,296,40088,2,0
4,4,419,2,296,40089,2,0
4,4,419,2,296,40090,2,0
4,4,401,1,1460,40092,2,0
4,4,401,1,1460,40093,2,0
4,4,401,1,1460,40094,2,0
4,4,401,1,1460,40095,2,0
4,4,401,1,1460,40096,2,0
4,4,401,1,1460,40097,2,0
4,4,401,1,1460,40098,2,0
4,4,401,1,1460,40099,2,0
4,4,401,1,1460,40100,2,0
4,4,412,2,2592,40101,2,0
4,4,412,2,2592,40102,2,0
4,4,412,2,2592,40103,2,0
4,4,412,2,2592,40104,2,0
4,4,412,2,2592,40105,2,0
4,4,412,2,2592,40106,2,0
4,4,412,2,2592,40107,2,0
4,4,412,2,2592,40108,2,0
4,4,412,2,2592,40109,2,0
4,4,412,2,2592,40110,2,0
4,4,412,2,1606,40111,2,0
4,4,412,2,1606,40112,2,0
4,4,412,2,1606,40113,2,0
4,4,412,2,1606,40114,2,0
4,4,412,2,1606,40115,2,0
4,4,412,2,1606,40116,2,0
4,4,412,2,1606,40117,2,0
4,4,412,2,1606,40118,2,0
4,4,412,2,1606,40119,2,0
4,4,412,2,1606,40120,2,0
4,4,410,2,4036,40121,2,0
4,4,410,2,4036,40122,2,0
4,4,410,2,4036,40123,2,0
4,4,410,2,4036,40124,1,0
4,4,410,2,4036,40125,2,0
4,4,410,2,4036,40126,2,0
4,4,410,2,4036,40128,2,0
4,4,410,2,4036,40129,2,0
4,4,410,2,4036,40130,2,0
4,4,407,2,796,40131,2,0
4,4,407,2,796,40132,1,0
4,4,407,2,796,40133,2,0
4,4,407,2,796,40134,2,0
4,4,407,2,796,40135,2,0
4,4,407,2,796,40136,2,0
4,4,407,2,796,40137,2,0
4,4,407,2,796,40138,2,0
4,4,407,2,796,40139,2,0
4,4,407,2,796,40140,2,0
4,4,410,1,3192,40141,2,0
4,4,410,1,3192,40142,2,0
4,4,410,1,3192,40143,2,0
4,4,410,1,3192,40144,1,0
4,4,410,1,3192,40145,2,0
4,4,410,1,3192,40146,2,0
4,4,410,1,3192,40147,2,0
4,4,410,1,3192,40148,2,0
4,4,410,1,3192,40149,2,0
4,4,410,1,3192,40150,2,0
4,4,410,1,3414,40151,2,0
4,4,410,1,3414,40152,2,0
4,4,410,1,3414,40153,2,0
4,4,410,1,3414,40154,2,0
4,4,410,1,3414,40155,2,0
4,4,410,1,3414,40156,2,0
4,4,410,1,3414,40157,2,0
4,4,410,1,3414,40158,1,0
4,4,410,1,3414,40159,2,0
4,4,410,1,3414,40160,2,0
4,4,401,1,738,40161,2,0
4,4,401,1,738,40162,2,0
4,4,401,1,738,40163,2,0
4,4,401,1,738,40164,2,0
4,4,401,1,738,40165,2,0
4,4,401,1,738,40166,2,0
4,4,401,1,738,40167,2,0
4,4,401,1,738,40168,2,0
4,4,401,1,738,40169,2,0
4,4,401,1,738,40170,2,0
4,4,421,1,800,40171,2,0
4,4,421,1,800,40172,1,0
4,4,421,1,800,40173,2,3
4,4,421,1,800,40174,2,0
4,4,421,1,800,40175,2,0
4,4,421,1,800,40176,2,0
4,4,421,1,800,40177,2,0
4,4,421,1,800,40178,2,0
4,4,421,1,800,40180,2,0
4,4,411,1,1486,40181,2,0
4,4,411,1,1486,40182,2,0
4,4,411,1,1486,40183,2,0
4,4,411,1,1486,40184,2,0
4,4,411,1,1486,40185,2,0
4,4,411,1,1486,40186,2,0
4,4,411,1,1486,40187,2,0
4,4,411,1,1486,40188,2,0
4,4,411,1,1486,40189,2,0
4,4,411,1,1486,40190,2,0
4,4,401,2,2106,40191,2,0
4,4,401,2,2106,40192,2,0
4,4,401,2,2106,40193,2,0
4,4,401,2,2106,40194,2,0
4,4,401,2,2106,40195,2,0
4,4,401,2,2106,40196,2,0
4,4,401,2,2106,40197,2,0
4,4,401,2,2106,40198,2,0
4,4,401,2,2106,40199,2,0
4,4,401,2,2106,40200,2,0
4,4,402,2,1080,40201,2,0
4,4,402,2,1080,40202,1,0
4,4,402,2,1080,40203,2,0
4,4,402,2,1080,40204,2,0
4,4,402,2,1080,40206,2,0
4,4,402,2,1080,40207,2,0
4,4,402,2,1080,40208,2,0
4,4,402,2,1080,40209,1,0
4,4,402,2,1080,40210,2,0
4,4,403,2,836,40211,2,0
4,4,403,2,836,40212,2,0
4,4,403,2,836,40213,2,0
4,4,403,2,836,40214,2,0
4,4,403,2,836,40215,2,0
4,4,403,2,836,40216,2,0
4,4,403,2,836,40217,2,0
4,4,403,2,836,40218,2,0
4,4,403,2,836,40220,2,0
2,5,506,2,830,50001,2,0
2,5,506,2,830,50002,2,1
2,5,506,2,830,50003,2,0
2,5,506,2,830,50004,2,0
2,5,506,2,830,50005,2,0
2,5,506,2,830,50006,2,0
2,5,506,2,830,50007,2,0
2,5,506,2,830,50008,2,0
2,5,506,2,830,50009,2,0
2,5,506,2,830,50010,2,0
2,5,502,1,2194,50011,2,0
2,5,502,1,2194,50012,1,0
2,5,502,1,2194,50013,2,0
2,5,502,1,2194,50014,2,0
2,5,502,1,2194,50015,2,0
2,5,502,1,2194,50016,1,0
2,5,502,1,2194,50017,2,0
2,5,502,1,2194,50018,1,0
2,5,502,1,2194,50019,2,0
2,5,502,1,2194,50020,2,0
2,5,515,2,18,50021,2,0
2,5,515,2,18,50022,2,0
2,5,515,2,18,50023,2,0
2,5,515,2,18,50024,2,0
2,5,515,2,18,50025,2,0
2,5,515,2,18,50026,2,0
2,5,515,2,18,50027,2,0
2,5,515,2,18,50028,2,0
2,5,515,2,18,50029,1,0
2,5,515,2,18,50030,2,0
2,5,502,2,3878,50031,2,0
2,5,502,2,3878,50032,2,0
2,5,502,2,3878,50033,2,0
2,5,502,2,3878,50034,2,0
2,5,502,2,3878,50035,2,0
2,5,502,2,3878,50036,2,0
2,5,502,2,3878,50037,2,0
2,5,502,2,3878,50038,2,0
2,5,502,2,3878,50039,1,0
2,5,502,2,3878,50040,2,0
2,5,504,2,708,50041,2,0
2,5,504,2,708,50042,2,0
2,5,504,2,708,50043,2,0
2,5,504,2,708,50044,2,0
2,5,504,2,708,50045,2,0
2,5,504,2,708,50046,2,0
2,5,504,2,708,50047,1,0
2,5,504,2,708,50048,1,0
2,5,504,2,708,50049,2,0
2,5,504,2,708,50050,2,0
2,5,513,2,348,50051,2,0
2,5,513,2,348,50052,2,0
2,5,513,2,348,50053,2,0
2,5,513,2,348,50054,2,0
2,5,513,2,348,50055,1,0
2,5,513,2,348,50056,1,0
2,5,513,2,348,50057,2,0
2,5,513,2,348,50058,1,0
2,5,513,2,348,50059,1,0
2,5,513,2,348,50060,2,0
2,5,514,2,710,50061,2,0
2,5,514,2,710,50062,2,0
2,5,514,2,710,50063,2,0
2,5,514,2,710,50064,2,0
2,5,514,2,710,50065,2,0
2,5,514,2,710,50066,2,0
2,5,514,2,710,50067,2,0
2,5,514,2,710,50068,2,0
2,5,514,2,710,50069,2,0
2,5,514,2,710,50070,2,0
2,5,501,2,60,50071,2,0
2,5,501,2,60,50072,2,0
2,5,501,2,60,50073,2,0
2,5,501,2,60,50074,1,0
2,5,501,2,60,50075,2,0
2,5,501,2,60,50076,2,0
2,5,501,2,60,50077,1,0
2,5,501,2,60,50078,2,0
2,5,501,2,60,50079,2,0
2,5,501,2,60,50080,2,0
2,5,516,2,942,50081,2,0
2,5,516,2,942,50082,2,0
2,5,516,2,942,50083,2,0
2,5,516,2,942,50084,1,0
2,5,516,2,942,50085,2,0
2,5,516,2,942,50086,1,0
2,5,516,2,942,50087,2,0
2,5,516,2,942,50088,2,0
2,5,516,2,942,50089,2,0
2,5,516,2,942,50090,1,0
2,5,508,2,984,50091,2,0
2,5,508,2,984,50092,1,0
2,5,508,2,984,50093,2,0
2,5,508,2,984,50094,2,0
2,5,508,2,984,50095,2,0
2,5,508,2,984,50096,2,0
2,5,508,2,984,50097,2,0
2,5,508,2,984,50098,2,0
2,5,508,2,984,50099,2,0
2,5,508,2,984,50100,2,0
2,5,514,1,2036,50101,2,0
2,5,514,1,2036,50102,2,0
2,5,514,1,2036,50103,2,0
2,5,514,1,2036,50104,2,0
2,5,514,1,2036,50105,2,0
2,5,514,1,2036,50106,2,0
2,5,514,1,2036,50107,2,0
2,5,514,1,2036,50108,2,0
2,5,514,1,2036,50109,2,0
2,5,514,1,2036,50110,2,0
2,5,508,2,718,50112,2,0
2,5,508,2,718,50113,1,0
2,5,508,2,718,50114,2,0
2,5,508,2,718,50115,2,0
2,5,508,2,718,50116,2,0
2,5,508,2,718,50117,2,0
2,5,508,2,718,50118,2,0
2,5,508,2,718,50119,2,0
2,5,508,2,718,50120,1,0
2,5,510,1,872,50121,2,0
2,5,510,1,872,50122,2,0
2,5,510,1,872,50123,2,0
2,5,510,1,872,50124,2,0
2,5,510,1,872,50125,2,0
2,5,510,1,872,50126,1,0
2,5,510,1,872,50127,2,0
2,5,510,1,872,50128,2,0
2,5,510,1,872,50129,2,0
2,5,510,1,872,50130,2,0
2,5,518,2,1588,50131,2,0
2,5,518,2,1588,50132,1,0
2,5,518,2,1588,50133,2,0
2,5,518,2,1588,50134,2,0
2,5,518,2,1588,50135,2,0
2,5,518,2,1588,50136,2,0
2,5,518,2,1588,50137,2,0
2,5,518,2,1588,50138,2,0
2,5,518,2,1588,50139,2,0
2,5,502,1,0,50140,2,1
2,5,510,2,1516,50141,1,0
2,5,510,2,1516,50142,2,0
2,5,510,2,1516,50143,2,0
2,5,510,2,1516,50144,2,0
2,5,510,2,1516,50145,2,0
2,5,510,2,1516,50146,2,0
2,5,510,2,1516,50147,2,0
2,5,510,2,1516,50148,2,0
2,5,510,2,1516,50149,2,0
2,5,510,2,1516,50150,2,0
2,5,518,2,1304,50151,2,0
2,5,518,2,1304,50152,1,0
2,5,518,2,1304,50153,2,0
2,5,518,2,1304,50154,2,0
2,5,518,2,1304,50155,2,0
2,5,518,2,1304,50156,2,0
2,5,518,2,1304,50157,1,0
2,5,518,2,1304,50158,2,0
2,5,518,2,1304,50159,1,0
2,5,518,2,1304,50160,2,0
2,5,520,2,1756,50161,2,0
2,5,520,2,1756,50162,2,0
2,5,520,2,1756,50163,2,0
2,5,520,2,1756,50164,2,0
2,5,520,2,1756,50165,2,0
2,5,520,2,1756,50166,2,0
2,5,520,2,1756,50167,2,0
2,5,520,2,1756,50168,2,0
2,5,520,2,1756,50169,2,0
2,5,520,2,1756,50170,2,0
5,6,602,2,0,60001,2,1
5,6,602,2,1356,60002,2,0
5,6,602,2,1356,60003,2,0
5,6,602,2,1356,60004,2,0
5,6,602,2,1356,60005,2,0
5,6,602,2,1356,60006,2,0
5,6,602,2,1356,60007,1,3
5,6,602,2,1356,60008,2,0
5,6,602,2,1356,60009,2,0
5,6,602,2,1356,60010,2,0
5,6,606,2,1372,60012,2,0
5,6,606,2,1372,60013,2,0
5,6,606,2,1372,60014,2,0
5,6,606,2,1372,60015,2,0
5,6,606,2,1372,60016,2,0
5,6,606,2,1372,60017,2,0
5,6,606,2,1372,60020,2,0
5,6,608,1,3978,60021,2,0
5,6,608,1,3978,60022,2,0
5,6,608,1,3978,60023,2,0
5,6,608,1,3978,60026,2,0
5,6,608,1,3978,60027,2,0
5,6,608,1,3978,60028,1,0
5,6,608,1,3978,60029,2,0
5,6,608,1,3978,60030,2,0
5,6,607,2,1892,60031,2,0
5,6,608,1,0,60032,2,1
5,6,608,1,0,60033,2,1
5,6,607,2,1892,60034,2,0
5,6,607,2,1892,60035,2,0
5,6,607,2,1892,60036,2,0
5,6,607,2,1892,60037,2,0
5,6,607,2,1892,60038,2,0
5,6,607,2,1892,60039,2,0
5,6,607,2,1892,60040,2,0
5,6,601,2,640,60041,2,0
5,6,601,2,640,60042,2,0
5,6,601,2,640,60043,2,0
5,6,601,2,640,60044,2,0
5,6,601,2,640,60045,2,0
5,6,601,2,640,60046,2,1
5,6,601,2,640,60047,2,0
5,6,601,2,640,60048,2,0
5,6,601,2,640,60049,2,0
5,6,601,2,640,60050,2,0
5,6,605,2,162,60051,2,0
5,6,605,2,162,60052,2,0
5,3,317,2,0,60053,2,1
